,g.id,g.gender,g.age,g.nas,g.province,g.city,g.education,g.occupation,o.indoor,o.outdoor,o.media,o.sports,o.free.offer,o.difficult.quit,o.harm.general,o.harm.water,o.har.fruit.taste,o.work.restriction,o.now.use,n.previous.use,n.why.combined,n.why.choices,n.friend.use,n.meet.friend,n.reaction.family,n.reaction.friend,n.public.indoor.use,n.public.indoor.use.days,n.public.outdoor.use,n.public.outdoor.use.days,n.offer.accept,c.age,c.reason.use.combined,c.reason.use.choices,c.use.quantity,c.morning.affinity,c.light.time,c.hours.affinity,c.which.difficult,c.affinity.sickness,c.where.first,c.how.first,c.enjoy.cigarette,c.restriction.bother,c.effect.increase.friends,c.increases.respect,c.suggest.family.friends,cq.willing.quit,cq.quit.commit,cq.reason.quit.combined,cq.reason.quit.choices,cq.quit.times,cq.quit.interval,cq.last.quit,cq.reason.unsuccessful.quit,cq.quit.methods,cq.quit.negative.combined,cq.quit.negative.choices,cq.ca.quit.again,cq.quit.supporter,h.age,h.main.reason.combined,h.main.reason.choices,h.use.quantity,h.morning.affinity,h.light.time,h.hours.affinity,h.spend.time,h.tobaco.class,h.which.difficult,h.affinity.sickness,h.where.first,h.how.first,h.enjoy.hooka,h.restriction.bother,h.effect.increase.friends,h.increases.respect,h.suggest.family.friends,hq.willing.quit,hq.quit.commit,hq.reason.quit.combined,hq.reason.quit.choices,hq.quit.times,hq.quit.interval,hq.last.quit,hq.reason.unsuccessful.quit,hq.quit.methods,hq.quit.negative.combined,hq.quit.negative.choices,hq.ca.quit.again,hq.quit.supporter,r.shortness,r.productive.cough,r.reduced.capacity,r.respiratory.doctor,r.respiratory.diagnosis,p.p,p.p.code,p.spam,p.date.start,p.date.finish,test.s,test.f,test.len,start.date,start.time,finish.date,finish.time
1025,QHDD,F,41,131,فارس,شيراز,Bachelors,housewife,Yes sir,No,Yes sir,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,Professional cigarettes,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,Gain peace----Life pressure and stress------Mental-emotional problems-,3,1 to 10 yarns (half an envelope),0,More than an hour,the night,the night,No,When having fun,At the suggestion of friends,I disagree,No,has no effect,No,No,Yes,No,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,For a short time,Only when you have a cold or infection,I agree to some extent,No,NA,I'm not a questioner,NA,NA,1399/12/16-12:04:18,1399/12/16-12:08:32,1399-12-16 12:04:18,1399-12-16 12:08:32,254,1399/12/16,12:04:18,1399/12/16,12:08:32
1026,uYkX,M,35,121,فارس,شيراز,PhDs and above,Free,Yes sir,No,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,Professional cigarettes,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,-Refreshment---Life pressure and stress-------Despair Of The Future Of Life,3,11 to 20 yarns (about one envelope),10,5 minutes to half an hour,Early morning,Around noon,Yes,Other places,At the suggestion of friends,I strongly agree,No,has no effect,No,No,Yes,Yes,-----Tired of consumption--,1,Two to three times,Under 1 month,Seven to twelve months ago,Difficulties,Only by personal will,High desire to consume-Boredom----,2,Yes,First class family,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,sometimes,Yes - every day,I agree to some extent,No,NA,I'm not a questioner,NA,NA,1399/12/16-12:01:32,1399/12/16-12:07:41,1399-12-16 12:01:32,1399-12-16 12:07:41,369,1399/12/16,12:01:32,1399/12/16,12:07:41
1027,Zll1,M,40,143,فارس,اردكان,Masters,Employee,Yes sir,Yes sir,No,No,No,No idea,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,No,NA,Recommended to leave,Recommended to leave,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I completely disagree,No,NA,I'm not a questioner,NA,NA,1399/12/16-12:01:08,1399/12/16-12:03:59,1399-12-16 12:01:08,1399-12-16 12:03:59,171,1399/12/16,12:01:08,1399/12/16,12:03:59
1028,Z7ps,F,30,140,فارس,شيراز,Masters,Free,No idea,No idea,No,Yes sir,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,Yes,It is harmful to my health--Social ugliness (ugly)---,2,Yes sir,More than three days a week,Recommended to leave,I can not point out,No,NA,No,NA,I probably do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I disagree,No,NA,I'm not a questioner,NA,NA,1399/12/16-11:53:30,1399/12/16-11:58:09,1399-12-16 11:53:30,1399-12-16 11:58:09,279,1399/12/16,11:53:30,1399/12/16,11:58:09
1029,tunf,F,41,142,بوشهر,بندردير,Masters,Employee,Yes sir,No,No,No,Yes sir,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,Yes sir,More than three days a week,Recommended to leave,I can not point out,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I disagree,No,NA,I'm not a questioner,NA,NA,1399/12/16-11:52:06,1399/12/16-11:55:29,1399-12-16 11:52:06,1399-12-16 11:55:29,203,1399/12/16,11:52:06,1399/12/16,11:55:29
1030,OxHt,F,45,141,فارس,شيراز,Bachelors,housewife,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,Yes sir,Less than three days a week,I can not point out,Control and reduce traffic,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,sometimes,Only when you have a cold or infection,I disagree,Yes sir,seasonal allergy,I'm not a questioner,NA,NA,1399/12/16-11:51:57,1399/12/16-11:57:59,1399-12-16 11:51:57,1399-12-16 11:57:59,362,1399/12/16,11:51:57,1399/12/16,11:57:59
1031,btbo,F,36,141,فارس,شيراز,Conservatory,housewife,No idea,No idea,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,Yes sir,Less than three days a week,I can not point out,I can not point out,No,NA,No,NA,I probably do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Yes - most days of the week,I do not know,Yes sir,Asthma,I'm not a questioner,NA,NA,1399/12/16-11:51:05,1399/12/16-11:56:48,1399-12-16 11:51:05,1399-12-16 11:56:48,343,1399/12/16,11:51:05,1399/12/16,11:56:48
1032,uMV6,F,43,140,فارس,شيراز,Masters,Employee,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,No,NA,Recommended to leave,Recommended to leave,Yes sir,1 to 2 days ago,Yes sir,1 to 2 days ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,Yes sir,seasonal allergy,I'm not a questioner,NA,NA,1399/12/16-11:44:34,1399/12/16-11:51:21,1399-12-16 11:44:34,1399-12-16 11:51:21,407,1399/12/16,11:44:34,1399/12/16,11:51:21
1033,6vjE,F,40,144,بوشهر,بوشهر,PhDs and above,Free,Yes sir,Yes sir,No,No,No,No,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,No,NA,Recommended to leave,Control and reduce traffic,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I completely disagree,No,NA,NA,NA,NA,1399/12/16-11:42:17,1399/12/16-11:46:50,1399-12-16 11:42:17,1399-12-16 11:46:50,273,1399/12/16,11:42:17,1399/12/16,11:46:50
1034,5e4d,F,36,142,فارس,شيراز,Bachelors,housewife,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,No,NA,Recommended to leave,I can not point out,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Yes - a few days a month,I completely disagree,Yes sir,I do not know,I'm not a questioner,NA,NA,1399/12/16-11:39:34,1399/12/16-11:48:19,1399-12-16 11:39:34,1399-12-16 11:48:19,525,1399/12/16,11:39:34,1399/12/16,11:48:19
1035,LiFa,F,21,144,فارس,شيراز,Bachelors,Student,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,No,I do not consume at all,No,NA,0,No,NA,I can not point out,I can not point out,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I do not know,No,NA,NA,NA,NA,1399/12/16-11:39:33,1399/12/16-11:42:30,1399-12-16 11:39:33,1399-12-16 11:42:30,177,1399/12/16,11:39:33,1399/12/16,11:42:30
1036,ofFG,M,40,144,فارس,سيدان,Bachelors,Free,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,No,NA,Recommended to leave,Control and reduce traffic,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I disagree,No,NA,NA,NA,NA,1399/12/16-11:31:30,1399/12/16-11:35:23,1399-12-16 11:31:30,1399-12-16 11:35:23,233,1399/12/16,11:31:30,1399/12/16,11:35:23
1037,MjzC,F,38,140,كهگيلويه وبويراحمد,باشت,Masters,Free,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,Yes sir,More than three days a week,Recommended to leave,Recommended to leave,Yes sir,1 to 2 days ago,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I completely disagree,Yes sir,seasonal allergy,I'm not a questioner,NA,NA,1399/12/16-11:31:09,1399/12/16-11:34:12,1399-12-16 11:31:09,1399-12-16 11:34:12,183,1399/12/16,11:31:09,1399/12/16,11:34:12
1038,hjM1,M,38,143,فارس,شيراز,PhDs and above,Free,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,No,NA,Advice not to smoke in my presence,I can not point out,No,NA,Yes sir,1 to 2 days ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,NA,NA,NA,1399/12/16-11:30:20,1399/12/16-11:36:47,1399-12-16 11:30:20,1399-12-16 11:36:47,387,1399/12/16,11:30:20,1399/12/16,11:36:47
1039,6FMh,F,51,142,بوشهر,بوشهر,Bachelors,Free,Yes sir,Yes sir,Yes sir,Yes sir,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,Yes,It is harmful to my health-----,1,Yes sir,Less than three days a week,I do not care,I do not care,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I do not know,No,NA,NA,NA,NA,1399/12/16-11:29:56,1399/12/16-11:56:03,1399-12-16 11:29:56,1399-12-16 11:56:03,1567,1399/12/16,11:29:56,1399/12/16,11:56:03
1040,ykoc,M,54,140,آذربايجان شرقي,آذرشهر,High School,manual worker,Yes sir,Yes sir,Yes sir,Yes sir,Yes sir,No idea,Yes sir,No idea,"It hurts, but very little",Yes,I do not consume at all,Yes,-----High cost of consumption,1,Yes sir,More than three days a week,Control and reduce traffic,I can not point out,Yes sir,5 to 6 days ago,Yes sir,5 to 6 days ago,I probably do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,sometimes,Yes - a few days a month,I disagree,No,NA,NA,NA,NA,1399/12/16-11:29:49,1399/12/16-11:34:45,1399-12-16 11:29:49,1399-12-16 11:34:45,296,1399/12/16,11:29:49,1399/12/16,11:34:45
1041,gvT6,F,36,143,فارس,شيراز,Bachelors,housewife,Yes sir,No idea,Yes sir,No,Yes sir,Yes sir,Yes sir,No,It is no different from traditional,No,I do not consume at all,No,NA,0,Yes sir,More than three days a week,Advice not to smoke in my presence,I do not care,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I do not know,No,NA,NA,NA,NA,1399/12/16-11:27:58,1399/12/16-11:31:50,1399-12-16 11:27:58,1399-12-16 11:31:50,232,1399/12/16,11:27:58,1399/12/16,11:31:50
1042,whc1,F,42,142,بوشهر,بوشهر,Bachelors,housewife,Yes sir,Yes sir,Yes sir,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,No,NA,I can not point out,I can not point out,Yes sir,A week ago,Yes sir,5 to 6 days ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I do not know,No,NA,NA,NA,NA,1399/12/16-11:24:50,1399/12/16-11:28:18,1399-12-16 11:24:50,1399-12-16 11:28:18,208,1399/12/16,11:24:50,1399/12/16,11:28:18
1043,630g,F,36,142,فارس,شيراز,Bachelors,Free,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,Yes sir,Less than three days a week,Control and reduce traffic,Control and reduce traffic,Yes sir,A week ago,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,For a short time,Only when you have a cold or infection,I completely disagree,No,NA,NA,NA,NA,1399/12/16-11:20:41,1399/12/16-11:25:48,1399-12-16 11:20:41,1399-12-16 11:25:48,307,1399/12/16,11:20:41,1399/12/16,11:25:48
1044,695N,M,40,122,تهران,تهران,Masters,manual worker,Yes sir,No,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,No,Professional cigarettes,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,Gain peace----Life pressure and stress-------,2,1 to 10 yarns (half an envelope),0,More than an hour,the night,the night,No,The way to school,Out of curiosity,No idea,No,They have more friends,It does not matter,No,Yes,Yes,Fear of getting sick-----Tired of consumption--,2,Two to three times,More than a year,More than a year ago,Difficulties,Only by personal will,--Excessive cough and sputum---Other cases,2,Yes,I have no support,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Yes - every day,I completely disagree,No,NA,NA,NA,NA,1399/12/16-11:17:55,1399/12/16-11:38:53,1399-12-16 11:17:55,1399-12-16 11:38:53,1258,1399/12/16,11:17:55,1399/12/16,11:38:53
1045,yjUw,F,56,141,هرمزگان,بندرعباس,elementary,housewife,Yes sir,Yes sir,Yes sir,Yes sir,No,No,Yes sir,No,It is no different from traditional,No,I do not consume at all,Yes,It is harmful to my health-Harmful to the health of others----,2,Yes sir,More than three days a week,Recommended to leave,Recommended to leave,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I completely disagree,No,NA,NA,NA,NA,1399/12/16-11:16:55,1399/12/16-11:22:31,1399-12-16 11:16:55,1399-12-16 11:22:31,336,1399/12/16,11:16:55,1399/12/16,11:22:31
1046,qEdN,F,42,120,خراسان رضوي,مشهد,Bachelors,Free,Yes sir,No,No,Yes sir,No,No,Yes sir,No,It is no different from traditional,Yes,Professional hookah,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,28,--Gain pleasure----As entertainment and fun-----,2,once,0,After breakfast,Evening,More than 20 minutes,Fruity,Evening,Yes,Home,At the suggestion of a first-class family,I agree,No,They have more friends,No,Yes sir,No,Yes,------Financial costs-other,2,once,NA,More than a year ago,Lack of entertainment,Only by personal will,-Boredom----,1,Yes,I have no support,never,Only when you have a cold or infection,I completely disagree,Yes sir,seasonal allergy,I'm not a questioner,NA,NA,1399/12/16-11:12:59,1399/12/16-11:19:56,1399-12-16 11:12:59,1399-12-16 11:19:56,417,1399/12/16,11:12:59,1399/12/16,11:19:56
1047,3O74,F,42,141,فارس,شيراز,Bachelors,Employee,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,Yes sir,Less than three days a week,Recommended to leave,I can not point out,Yes sir,3 to 4 days ago,Yes sir,3 to 4 days ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,NA,NA,NA,1399/12/16-11:10:35,1399/12/16-11:14:19,1399-12-16 11:10:35,1399-12-16 11:14:19,224,1399/12/16,11:10:35,1399/12/16,11:14:19
1048,ljff,M,52,140,فارس,شيراز,PhDs and above,Employee,Yes sir,Yes sir,No,No,Yes sir,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,Yes,It is harmful to my health-Harmful to the health of others----,2,Yes sir,Less than three days a week,Recommended to leave,Recommended to leave,No,NA,Yes sir,3 to 4 days ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,NA,NA,NA,1399/12/16-11:10:02,1399/12/16-11:14:27,1399-12-16 11:10:02,1399-12-16 11:14:27,265,1399/12/16,11:10:02,1399/12/16,11:14:27
1049,uw0g,F,28,141,فارس,شيراز,diplomas,housewife,Yes sir,Yes sir,Yes sir,Yes sir,No,Yes sir,Yes sir,No,It is no different from traditional,No,I do not consume at all,No,NA,0,Yes sir,More than three days a week,Recommended to leave,Recommended to leave,Yes sir,3 to 4 days ago,Yes sir,1 to 2 days ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,NA,NA,NA,1399/12/16-11:04:31,1399/12/16-11:10:01,1399-12-16 11:04:31,1399-12-16 11:10:01,330,1399/12/16,11:04:31,1399/12/16,11:10:01
1050,uqIx,M,49,130,فارس,شيراز,Bachelors,manual worker,Yes sir,Yes sir,Yes sir,Yes sir,Yes sir,Yes sir,No idea,No,"Yes, it is completely harmless",Yes,Professional hookah,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,18,-Refreshment-----As entertainment and fun----Mental-emotional problems-,3,once,2,After breakfast,the night,5 to 10 minutes,Traditional,the night,No,When having fun,At the suggestion of a first-class family,I agree,No,They have fewer friends,Yes sir,Yes sir,No,No,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,sometimes,Only when you have a cold or infection,I do not know,No,NA,NA,NA,NA,1399/12/16-11:03:34,1399/12/16-11:08:26,1399-12-16 11:03:34,1399-12-16 11:08:26,292,1399/12/16,11:03:34,1399/12/16,11:08:26
1051,ClOB,F,42,143,فارس,شهر جديد صدرا,High School,housewife,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,No,I do not consume at all,No,NA,0,Yes sir,More than three days a week,Advice not to smoke in my presence,Advise not to be in my presence,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,NA,NA,NA,1399/12/16-10:58:52,1399/12/16-11:03:56,1399-12-16 10:58:52,1399-12-16 11:03:56,304,1399/12/16,10:58:52,1399/12/16,11:03:56
1052,4QgP,M,40,144,لرستان,خرم آباد,PhDs and above,Employee,Yes sir,No,No,No,No,No idea,Yes sir,No,"Yes, it is completely harmless",Yes,I do not consume at all,No,NA,0,No,NA,Advice not to smoke in my presence,Advise not to be in my presence,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,NA,NA,NA,1399/12/16-10:58:17,1399/12/16-11:06:10,1399-12-16 10:58:17,1399-12-16 11:06:10,473,1399/12/16,10:58:17,1399/12/16,11:06:10
1053,0gLx,F,42,140,بوشهر,بوشهر,Bachelors,housewife,Yes sir,No idea,No,No,No,Yes sir,Yes sir,No,"It hurts, but very little",Yes,I do not consume at all,No,NA,0,No,NA,Advice not to smoke in my presence,Advise not to be in my presence,Yes sir,1 to 2 days ago,Yes sir,1 to 2 days ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,For a short time,no never,I completely disagree,Yes sir,Asthma,I'm not a questioner,NA,NA,1399/12/16-10:53:45,1399/12/16-10:57:11,1399-12-16 10:53:45,1399-12-16 10:57:11,206,1399/12/16,10:53:45,1399/12/16,10:57:11
